lead_key,business_name,category,owner_name,phone_primary,phone_secondary,whatsapp,email,address,city,pincode,latitude,longitude,opening_hours,has_website,website_url,website_quality,rating,review_count,years_in_business,socials,source,source_url,place_id,lead_score,lead_tier,data_fetched_at,stale_after,outreach_status,opt_out,sample_site_url,pitch_deck_url,notes,contact_channel,wa_link,region,country,assigned_employee,pain_points,recommended_pitch,crm_status,crm_notes,last_contacted_at,next_callback_at
ph:+919985721155,V Care Clinic - Dr Mohd Vaseem - Best Doctor in Hyderabad,Doctor,,+919985721155,,,,"V Care Clinic, Behind Habeeb Nagar PS, Near, Alhamdulillah Hotel Rd, Aghapura, Nampally, Hyderabad, Telangana 500001, India",Hyderabad,,17.3892955,78.4629364,Monday: 4:00 – 6:00 PM; Tuesday: 4:00 – 6:00 PM; Wednesday: 4:00 – 6:00 PM; Thursday: 4:00 – 6:00 PM; Friday: 4:00 – 6:00 PM; Saturday: 4:00 – 6:00 PM; Sunday: Closed,False,,none,4.9,168,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJJeWgApWXyzsR1JVe35bPIJU,ChIJJeWgApWXyzsR1JVe35bPIJU,85,HOT,2026-07-27T16:30:59.296863,2026-08-26T16:30:59.296863,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up doctors in Hyderabad last week and V Care Clinic kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/919985721155?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20doctors%20in%20Hyderabad%20last%20week%20and%20V%20Care%20Clinic%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
ph:+918919824873,Safe Clinic Dr. Pushpa general physician,Medical Clinic,,+918919824873,,,,"Rd Number 11, Netaji Nagar Colony, Langar Houz, Hyderabad, Telangana 500008, India",Hyderabad,,17.3790286,78.4275713,"Monday: 9:00 AM – 4:00 PM, 5:00 – 9:00 PM; Tuesday: 9:00 AM – 4:00 PM, 5:00 – 9:00 PM; Wednesday: 9:00 AM – 4:00 PM, 5:00 – 9:00 PM; Thursday: 9:00 AM – 4:00 PM, 5:00 – 9:00 PM; Friday: 9:00 AM – 4:00 PM, 5:00 – 9:00 PM; Saturday: 9:00 AM – 4:00 PM, 5:00 – 9:00 PM; Sunday: Closed",False,,none,4.9,133,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJSyyX41GXyzsRtoW8M4FQebo,ChIJSyyX41GXyzsRtoW8M4FQebo,85,HOT,2026-07-27T16:30:59.296863,2026-08-26T16:30:59.296863,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up medical clinics in Hyderabad last week and Safe Clinic Dr. Pushpa general physician kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/918919824873?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20medical%20clinics%20in%20Hyderabad%20last%20week%20and%20Safe%20Clinic%20Dr.%20Pushpa%20general%20physician%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
ph:+918919341154,Caspian Healthcare,Hospital,,+918919341154,,,,"10-3-761/8, Ahmed Rd, near Nirmala Hospital, Vijaynagar Colony, SBH Colony, Vijaya Nagar Colony, Hyderabad, Telangana 500057, India",Hyderabad,,17.3943484,78.451628,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,False,https://yourdramreen.com/,none,4.9,1276,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJgVN7dwiXyzsRRhxPks2UBXg,ChIJgVN7dwiXyzsRRhxPks2UBXg,85,HOT,2026-07-27T16:30:59.296863,2026-08-26T16:30:59.296863,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I came across Caspian Healthcare while looking at hospitals in Hyderabad — your reviews are great, but your current site isn't doing them justice. So I redesigned it. Not a mockup, an actual working version that's a click away from going live. I'll share the redesign and a short deck on what it could do for you — free to look, zero pressure. Want me to send it over?",whatsapp,https://wa.me/918919341154?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20came%20across%20Caspian%20Healthcare%20while%20looking%20at%20hospitals%20in%20Hyderabad%20%E2%80%94%20your%20reviews%20are%20great%2C%20but%20your%20current%20site%20isn%27t%20doing%20them%20justice.%20So%20I%20redesigned%20it.%20Not%20a%20mockup%2C%20an%20actual%20working%20version%20that%27s%20a%20click%20away%20from%20going%20live.%20I%27ll%20share%20the%20redesign%20and%20a%20short%20deck%20on%20what%20it%20could%20do%20for%20you%20%E2%80%94%20free%20to%20look%2C%20zero%20pressure.%20Want%20me%20to%20send%20it%20over%3F,,,,,,,,,
ph:+914023319519,Vatsayana Clinic,Medical Clinic,,+914023319519,,,,"CF95+G4C Medinova Compound, Somajiguda, Hyderabad, Telangana 500082, India",Hyderabad,,17.4188031,78.4577579,Monday: Closed; Tuesday: 2:00 – 7:00 PM; Wednesday: 2:00 – 8:00 PM; Thursday: 2:00 – 8:00 PM; Friday: 2:00 – 8:00 PM; Saturday: 2:00 – 8:00 PM; Sunday: 2:00 – 6:00 PM,False,,none,4.3,25,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJI-OYNkmXyzsRwHyDi0urFQk,ChIJI-OYNkmXyzsRwHyDi0urFQk,85,HOT,2026-07-27T16:30:59.296863,2026-08-26T16:30:59.296863,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up medical clinics in Hyderabad last week and Vatsayana Clinic kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",call,,,,,,,,,,
ph:+918106266499,Aditya Heart and Wellness Clinics,Medical Clinic,,+918106266499,,,,"6-3-609/117, beside Dayanand Public School, Anand Nagar Colony, Khairtabad, Hyderabad, Telangana 500004, India",Hyderabad,,17.4115202,78.4554051,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,False,,none,4.8,138,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJryXR_kaXyzsRlsG7jgH7hq8,ChIJryXR_kaXyzsRlsG7jgH7hq8,85,HOT,2026-07-27T16:31:00.030472,2026-08-26T16:31:00.030472,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up medical clinics in Hyderabad last week and Aditya Heart and Wellness Clinics kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/918106266499?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20medical%20clinics%20in%20Hyderabad%20last%20week%20and%20Aditya%20Heart%20and%20Wellness%20Clinics%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
ph:+919848403942,Health care clinic (Dr. Muzammil Ahmed),Medical Clinic,,+919848403942,,,,"Shop no 4, 17-1-142/B, CRIDA Rd, Banu Nagar, Santosh Nagar, Hyderabad, Telangana 500059, India",Hyderabad,,17.3502676,78.5022215,"Monday: 11:00 AM – 2:00 PM, 7:30 – 11:00 PM; Tuesday: 11:00 AM – 2:00 PM, 7:30 – 11:00 PM; Wednesday: 11:00 AM – 2:00 PM, 7:30 – 11:00 PM; Thursday: 11:00 AM – 2:00 PM, 7:30 – 11:00 PM; Friday: 7:30 – 11:00 PM; Saturday: 11:00 AM – 2:00 PM, 7:30 – 11:00 PM; Sunday: Closed",False,,none,4.8,26,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJhz5-KpaZyzsRaK_OyV-De3s,ChIJhz5-KpaZyzsRaK_OyV-De3s,85,HOT,2026-07-27T16:31:00.030472,2026-08-26T16:31:00.030472,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up medical clinics in Hyderabad last week and Health care clinic kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/919848403942?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20medical%20clinics%20in%20Hyderabad%20last%20week%20and%20Health%20care%20clinic%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
ph:+919391122022,Health Medicals,Medical Center,,+919391122022,,,,"6-3-662/6, Punjagutta, beside Red Rose Restaurant, Sangeet Nagar, Somajiguda, Hyderabad, Telangana 500082, India",Hyderabad,,17.4214063,78.4560229,Monday: 9:30 AM – 11:00 PM; Tuesday: 9:30 AM – 11:00 PM; Wednesday: 9:30 AM – 11:00 PM; Thursday: 9:30 AM – 11:00 PM; Friday: 9:30 AM – 11:00 PM; Saturday: 9:30 AM – 11:00 PM; Sunday: 9:30 AM – 11:00 PM,False,,none,4.3,17,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJnXIYz0uXyzsR36gX4KElYJg,ChIJnXIYz0uXyzsR36gX4KElYJg,85,HOT,2026-07-27T16:31:00.031476,2026-08-26T16:31:00.031476,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up medical centers in Hyderabad last week and Health Medicals kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/919391122022?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20medical%20centers%20in%20Hyderabad%20last%20week%20and%20Health%20Medicals%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
ph:+919603155144,BANDI GANESH ADVOCATE,Attorney,,+919603155144,,,,"Central Court Apartments, Flat 204, B block, Raj Bhavan Rd, Durga Nagar Colony, Somajiguda, Hyderabad, Telangana 500082, India",Hyderabad,,17.4258633,78.4569829,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,False,,none,4.8,115,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJS65m1yiXyzsRuSePlEs4Ow0,ChIJS65m1yiXyzsRuSePlEs4Ow0,85,HOT,2026-07-27T16:31:00.725826,2026-08-26T16:31:00.725826,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up attorneys in Hyderabad last week and BANDI GANESH ADVOCATE kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/919603155144?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20attorneys%20in%20Hyderabad%20last%20week%20and%20BANDI%20GANESH%20ADVOCATE%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
ph:+919603550308,"Advocate Amruth Kumar B.com, MBA, LLB Hyderabad",Attorney,,+919603550308,,,,"Qtr No. 140, New MLA Quarters, Adarsh Nagar, Hyderabad, Telangana 500063, India",Hyderabad,,17.4051082,78.4742848,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,False,,none,5.0,18,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJ8Waw0XGXyzsRNpiPQx9pmf8,ChIJ8Waw0XGXyzsRNpiPQx9pmf8,85,HOT,2026-07-27T16:31:00.725826,2026-08-26T16:31:00.725826,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up attorneys in Hyderabad last week and Advocate Amruth Kumar B.com, MBA, LLB Hyderabad kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/919603550308?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20attorneys%20in%20Hyderabad%20last%20week%20and%20Advocate%20Amruth%20Kumar%20B.com%2C%20MBA%2C%20LLB%20Hyderabad%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
ph:+918341629281,JURIS LEGAL SERVICES,Attorney,,+918341629281,,,,"9-4-18/6/A/1, Tolichowki X-Road, MD Lines Rd, BalReddy Nagar, Toli Chowki, Hyderabad, Telangana 500008, India",Hyderabad,,17.3982291,78.4167977,"Monday: 11:30 AM – 12:30 PM, 6:30 – 11:30 PM; Tuesday: 11:30 AM – 12:30 PM, 6:30 – 11:30 PM; Wednesday: 11:30 AM – 12:30 PM, 6:30 – 11:30 PM; Thursday: 11:30 AM – 12:30 PM, 6:30 – 11:30 PM; Friday: 11:30 AM – 12:30 PM, 6:30 – 11:30 PM; Saturday: 11:30 AM – 12:30 PM, 6:30 – 11:30 PM; Sunday: 11:30 AM – 12:30 PM, 6:30 – 11:30 PM",False,,none,4.8,118,,,google_places,https://www.google.com/maps/place/?q=place_id:ChIJEVhLWeiWyzsRcM94UcEaBxE,ChIJEVhLWeiWyzsRcM94UcEaBxE,85,HOT,2026-07-27T16:31:00.725826,2026-08-26T16:31:00.725826,new,False,,,"MSG: Hi! This is Taarush, I run TK Vibes, a small web studio. I was actually looking up attorneys in Hyderabad last week and JURIS LEGAL SERVICES kept coming up with great reviews — but I couldn't find a website, which honestly surprised me. So I went ahead and built a sample one for you. It's real, it's ready, and it's genuinely just a click away from going live. I'll send over the sample site and a short deck showing what it could do for you — no charge to look, no pressure. Would you like to see it?",whatsapp,https://wa.me/918341629281?text=Hi%21%20This%20is%20Taarush%2C%20I%20run%20TK%20Vibes%2C%20a%20small%20web%20studio.%20I%20was%20actually%20looking%20up%20attorneys%20in%20Hyderabad%20last%20week%20and%20JURIS%20LEGAL%20SERVICES%20kept%20coming%20up%20with%20great%20reviews%20%E2%80%94%20but%20I%20couldn%27t%20find%20a%20website%2C%20which%20honestly%20surprised%20me.%20So%20I%20went%20ahead%20and%20built%20a%20sample%20one%20for%20you.%20It%27s%20real%2C%20it%27s%20ready%2C%20and%20it%27s%20genuinely%20just%20a%20click%20away%20from%20going%20live.%20I%27ll%20send%20over%20the%20sample%20site%20and%20a%20short%20deck%20showing%20what%20it%20could%20do%20for%20you%20%E2%80%94%20no%20charge%20to%20look%2C%20no%20pressure.%20Would%20you%20like%20to%20see%20it%3F,,,,,,,,,
