lead_key,business_name,city,category,phone,number_type,channel,lead_tier,lead_score,message,wa_link,status
ph:+919985721155,V Care Clinic - Dr Mohd Vaseem - Best Doctor in Hyderabad,Hyderabad,Doctor,+919985721155,mobile,whatsapp,HOT,85,"Hi V Care Clinic, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919985721155?text=Hi%20V%20Care%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918919824873,Safe Clinic Dr. Pushpa general physician,Hyderabad,Medical Clinic,+918919824873,mobile,whatsapp,HOT,85,"Hi Safe Clinic Dr. Pushpa general physician, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918919824873?text=Hi%20Safe%20Clinic%20Dr.%20Pushpa%20general%20physician%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918919341154,Caspian Healthcare,Hyderabad,Hospital,+918919341154,mobile,whatsapp,HOT,85,"Hi Caspian Healthcare, this is TKVibes — a web studio based in Delhi. I came across your hospital site and put together a quick redesign concept showing how it could look. Want me to send it over? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918919341154?text=Hi%20Caspian%20Healthcare%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20came%20across%20your%20hospital%20site%20and%20put%20together%20a%20quick%20redesign%20concept%20showing%20how%20it%20could%20look.%20Want%20me%20to%20send%20it%20over%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918106266499,Aditya Heart and Wellness Clinics,Hyderabad,Medical Clinic,+918106266499,mobile,whatsapp,HOT,85,"Hi Aditya Heart and Wellness Clinics, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918106266499?text=Hi%20Aditya%20Heart%20and%20Wellness%20Clinics%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919848403942,Health care clinic (Dr. Muzammil Ahmed),Hyderabad,Medical Clinic,+919848403942,mobile,whatsapp,HOT,85,"Hi Health care clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919848403942?text=Hi%20Health%20care%20clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919391122022,Health Medicals,Hyderabad,Medical Center,+919391122022,mobile,whatsapp,HOT,85,"Hi Health Medicals, this is TKVibes — a web studio based in Delhi. I saw your medical center on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919391122022?text=Hi%20Health%20Medicals%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20center%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919603155144,BANDI GANESH ADVOCATE,Hyderabad,Attorney,+919603155144,mobile,whatsapp,HOT,85,"Hi BANDI GANESH ADVOCATE, this is TKVibes — a web studio based in Delhi. I saw your attorney on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919603155144?text=Hi%20BANDI%20GANESH%20ADVOCATE%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20attorney%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919603550308,"Advocate Amruth Kumar B.com, MBA, LLB Hyderabad",Hyderabad,Attorney,+919603550308,mobile,whatsapp,HOT,85,"Hi Advocate Amruth Kumar B.com, MBA, LLB Hyderabad, this is TKVibes — a web studio based in Delhi. I saw your attorney on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919603550308?text=Hi%20Advocate%20Amruth%20Kumar%20B.com%2C%20MBA%2C%20LLB%20Hyderabad%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20attorney%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918341629281,JURIS LEGAL SERVICES,Hyderabad,Attorney,+918341629281,fixed_or_mobile,whatsapp,HOT,85,"Hi JURIS LEGAL SERVICES, this is TKVibes — a web studio based in Delhi. I saw your attorney on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918341629281?text=Hi%20JURIS%20LEGAL%20SERVICES%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20attorney%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919553855106,G. Eshwar kumar Advocate,Hyderabad,Attorney,+919553855106,mobile,whatsapp,HOT,85,"Hi G. Eshwar kumar Advocate, this is TKVibes — a web studio based in Delhi. I saw your attorney on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919553855106?text=Hi%20G.%20Eshwar%20kumar%20Advocate%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20attorney%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918074369328,Pet shine clinic,Hyderabad,Veterinary Care,+918074369328,fixed_or_mobile,whatsapp,HOT,85,"Hi Pet shine clinic, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918074369328?text=Hi%20Pet%20shine%20clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918121036009,ADITYA PET CLINIC,Hyderabad,Veterinary Care,+918121036009,mobile,whatsapp,HOT,85,"Hi ADITYA PET CLINIC, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918121036009?text=Hi%20ADITYA%20PET%20CLINIC%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+917989616830,Shiwalik Pet Clinic,Hyderabad,Veterinary Care,+917989616830,fixed_or_mobile,whatsapp,HOT,85,"Hi Shiwalik Pet Clinic, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/917989616830?text=Hi%20Shiwalik%20Pet%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
